uid,src,title,alt,lieu,lat,lng,categorie,visible
"carac-16","/images/caracterisation-dark-massilia-karimsaari-projet-sentinelle-merveille.webp","Dépollution Sentinelle 4 — L'Estaque, Marseille","Plongeur de la Team Oxygen en apnée extrayant un pneu immergé au-dessus d'un herbier de posidonie lors de l'opération Sentinelle 4 avec l'aide de Merveille— L'Estaque — Dépollution/Oxygen — © Karim Saari","Marseille","43.358201","5.306602","caracterisation","true"
"carac-17","/images/caracterisation-dark-massilia-karimsaari-vallon-auffes.webp","Retrait de pneu — Vallon des Auffes, Marseille","plongeur sous-marin en train de retirer un pneu usagé du fond de l'eau dans l'anse du Vallon des Auffes, illustrant une action de dépollution et de préservation du milieu marin à Marseille — SOUS-MARIN : A. Dépollution/Oxygen — © Karim Saari","Marseille - Vallon des auffes","43.285403","5.350758","caracterisation","true"
"carac-18","/images/marseille-karimsaari-depollution-marine-dark-massilia-1.webp","Extraction de pneu — Calanque de Sormiou","Plongeur de la Team Oxygen extrayant un pneu usagé du fond marin pour préserver la biodiversité — Calanque de Sormiou — Dépollution/Oxygen — © Karim Saari","Marseille - calanque de Sormiou","43.209275","5.421641","caracterisation","true"
"carac-19","/images/marseille-karimsaari-depollution-marine-dark-massilia-2.webp","Dépollution de protoxyde d'azote — Mucem, Marseille","Plongeur de la Team Oxygen extrayant des bonbonnes de protoxyde d'azote devant le Mucem lors de l'opération Sentinelle 4 — Marseille — Dépollution/Oxygen — © Karim Saari","Marseille - le Mucem","43.296398","5.361068","caracterisation","true"
"carac-20","/images/marseille-karimsaari-depollution-marine-dark-massilia-3.webp","Retour du Frioul — Rade de Marseille","Silhouette contemplative sur un bateau de l'association Boud'mer lors du retour de l'archipel du Frioul vers la rade de Marseille — Littoral/Calanques — © Karim Saari","Rade de Marseille","43.275284","5.322604","caracterisation","true"
"carac-21","/images/marseille-karimsaari-depollution-marine-dark-massilia-4.webp","Après la dépollution — L'Estaque / Corbières","retrait de pneus et macro-déchets sur les fonds marins de la plage de la Corbière, une action de préservation concrète à l'Estaque","Marseille","43.360617","5.302751","caracterisation","true"
"carac-22","/images/marseille-karimsaari-depollution-marine-dark-massilia-5.webp","Amas de pneus après la dépollution - Sentinelle 4","retrait de pneus et macro-déchets sur les fonds marins de la plage de la Corbière, une action de préservation concrète à l'Estaque","Marseille - les goudes","43.216311","5.344507","caracterisation","true"
"carac-3","/images/marseille-dark-massilia-caracterisation-dechets-carac-3.webp","Le fléau du protoxyde — Mucem","Cartouches de protoxyde d'azote (gaz hilarant) jonchant les fonds marins, témoignage de la pollution urbaine et des nouveaux déchets toxiques à Marseille - Dépollution/Oxygen — © Karim Saari","Marseille - Mucem","43.296386","5.36105","caracterisation","true"
"carac-4","/images/marseille-dark-massilia-caracterisation-dechets-carac-4.webp","Tapis de bouteilles de bière — Mucem","Alignement impressionnant de centaines de bouteilles de bière en verre vert, couvertes de vase et de concrétions marines, alignées sur le quai du Mucem à Marseille après avoir été remontées des fonds marins par les apnéistes lors de l'opération sentinelle 4 de dépollution par la TEAM OXYGEN, dénonçant l'ampleur de la pollution en Méditerranée — Marseille — © Karim Saari","Marseille, Mucem","43.29634","5.360978","caracterisation","true"
"sentinelle-0","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-apneiste.webp","Apnéiste en mission — Projet Sentinelle","Mission Projet Sentinelle Marseille — Apneiste — © Karim Saari","Calanques de Marseille","43.172057","5.392987","depollution","true"
"sentinelle-1","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-archipel-frioul-barquette-1.webp","Projet sentinelle 4 - Dépollution sur le frioul - Marseille","Mission Projet Sentinelle Marseille — Archipel frioul barquette 1 — © Karim Saari","Calanques de Marseille","","","depollution","true"
"sentinelle-10","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-bateau.webp","Bateau Sentinelle — Mission dépollution","Mission Projet Sentinelle Marseille — Bateau — © Karim Saari","Calanques de Marseille","","","depollution","true"
"sentinelle-11","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-bouteille.webp","Projet sentinelle 4  — Pollution mer Heineken","Mission Projet Sentinelle Marseille — Bouteille — © Karim Saari","Calanques de Marseille","","","depollution","true"
"sentinelle-12","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-canette.webp","Projet sentinelle 4  — Canette au fond des mers — Plastique Méditerranée","Mission Projet Sentinelle Marseille — Canette — © Karim Saari","Calanques de Marseille","","","depollution","true"
"sentinelle-13","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-déchets.webp","Déchets ramassés — Projet Sentinelle Marseille","Mission Projet Sentinelle Marseille — Déchets — © Karim Saari","Calanques de Marseille","","","depollution","true"
"sentinelle-14","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-escargot.webp","Escargot de mer — Faune Calanques","Mission Projet Sentinelle Marseille — Escargot — © Karim Saari","Calanques de Marseille","","","depollution","true"
"sentinelle-15","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-fonds-marins.webp","Fonds marins des Calanques — Biodiversité","Mission Projet Sentinelle Marseille — Fonds marins — © Karim Saari","Marseille, les Moyades","43.176647","5.371869","biodiversite","true"
"sentinelle-16","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-frioul-1.webp","Frioul nettoyé — Mission 1 Sentinelle","Mission Projet Sentinelle Marseille — Frioul 1 — © Karim Saari","Marseille","43.280546","5.333539","depollution","true"
"sentinelle-17","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-frioul-4.webp","Frioul nettoyé — Mission 4 Sentinelle","Mission Projet Sentinelle Marseille — Frioul 4 — © Karim Saari","Marseille","43.273579","5.3359","depollution","true"
"sentinelle-18","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-frioul-8.webp","Projet sentinelle 4  — Frioul nettoyé —association boudmer","Mission Projet Sentinelle Marseille — Frioul 8 — © Karim Saari","Marseille","43.275953","5.328862","depollution","true"
"sentinelle-19","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-goudes-esprit-equipe-fight.webp","Esprit d'équipe aux Goudes — Dark Massilia","Mission Projet Sentinelle Marseille — Goudes esprit equipe fight — © Karim Saari","Marseille, les Goudes","43.216268","5.345031","depollution","true"
"sentinelle-2","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-archipel-frioul-barquette-2.webp","Association Boudmer - Barquette du Frioul  - Projet Sentinelle","Mission Projet Sentinelle Marseille — Archipel frioul barquette 2 — © Karim Saari","Calanques de Marseille","43.274235","5.323712","depollution","true"
"sentinelle-20","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-grotte-riou.webp","Grotte de Riou — Exploration sous-marine","Mission Projet Sentinelle Marseille — Grotte riou — © Karim Saari","Calanques de Marseille","","","depollution","true"
"sentinelle-21","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-grotte.webp","Grotte marine — Apnée Calanques de Marseille","Mission Projet Sentinelle Marseille — Grotte — © Karim Saari","Calanques de Marseille","","","depollution","true"
"sentinelle-22","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-huveaune.webp","L'Huveaune dépollué — Projet Sentinelle","Mission Projet Sentinelle Marseille — Huveaune — © Karim Saari","Marseille, Embouchure de l'Huveaune","43.259462","5.373594","depollution","true"
"sentinelle-23","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-kayak-boudmer.webp","Kayak à Boudmer — Dépollution maritime","Mission Projet Sentinelle Marseille — Kayak boudmer — © Karim Saari","Calanques de Marseille","","","depollution","true"
"sentinelle-24","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-mer-de-plastique.webp","Mer de plastique — Pollution Méditerranée","Mission Projet Sentinelle Marseille — Mer de plastique — © Karim Saari","Calanques de Marseille","","","depollution","true"
"sentinelle-25","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-morgan-bourchis.webp","Morgan Bourchis en mission — Champion apnée","photographie sous marine, Mission Projet Sentinelle Marseille — Morgan bourchis — © Karim Saari","Marseille, musée subaquatique","43.290292","5.353635","depollution","true"
"sentinelle-26","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-moyades-romuald.webp","Moyades — Romuald et les fonds","Mission Projet Sentinelle Marseille — Moyades romuald — © Karim Saari","Marseille, les Moyades","43.177686","5.370874","biodiversite","true"
"sentinelle-27","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-moyades.webp","Tournage sous-marin près des Moyades — Archipel de Riou","cadreur sous-marin en action près de formations de coralligène aux Moyades durant un tournage. Biodiversité marine — © Karim Saari","Marseille, les moyades","43.17901","5.370386","depollution","true"
"sentinelle-28","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-musée.webp","Le Musée subaquatique des Calanques","photographie sous marine,Mission Projet Sentinelle Marseille — Musée — © Karim Saari","Marseille, musée subaquatique","43.290292","5.353635","depollution","true"
"sentinelle-29","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-musée_subaquatique-1.webp","Musée subaquatique 1 — Sculptures marines","photographie sous marine, Mission Projet Sentinelle Marseille — Musée subaquatique 1 — © Karim Saari","Marseille, musée subaquatique","43.290292","5.353635","depollution","true"
"sentinelle-3","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-archipel-frioul-barquette-3.webp","Barquette du Frioul 3 — Nettoyage marin","Mission Projet Sentinelle Marseille — Archipel frioul barquette 3 — © Karim Saari","Calanques de Marseille","","","depollution","true"
"sentinelle-30","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-musée_subaquatique-2.webp","Musée subaquatique 2 — Art sous les flots","photographie sous marine, Mission Projet Sentinelle Marseille — Musée subaquatique 2 — © Karim Saari","Marseille, Musée Subaquatique","43.290292","5.353635","depollution","true"
"sentinelle-31","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-musée_subaquatique-vie-marine.webp","Sentinelles du récif — Musée Subaquatique, Marseille","Groupe de plongeurs en apnée explorant une sculpture immergée sur le fond sablonneux de la Méditerranée, illustrant l'engagement pour la protection des fonds marins et l'écologie marine — Marseille — © Karim Saari","Marseille, Musée Subaquatique","43.290292","5.353635","depollution","true"
"sentinelle-33","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-nage.webp","Nage en apnée — Calanques de Marseille","Mission Projet Sentinelle Marseille — Nage — © Karim Saari","Calanques de Marseille","","","depollution","true"
"sentinelle-34","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-plaque-immatriculation.webp","Plaque immatriculée au fond — Pollution marine","Mission Projet Sentinelle Marseille — Plaque immatriculation — © Karim Saari","Calanques de Marseille","","","depollution","true"
"sentinelle-35","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-pollution-huveaune.webp","Pollution de l'Huveaune — Marseille","Mission Projet Sentinelle Marseille — Pollution huveaune — © Karim Saari","Calanques de Marseille","","","depollution","true"
"sentinelle-36","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-poséidon.webp","Poséidon des mers — Mission Sentinelle","photographie sous marine, Mission Projet Sentinelle Marseille — Poséidon — © Karim Saari","Marseille, Musée Subaquatique","43.290292","5.353635","depollution","true"
"sentinelle-37","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-poulpe.webp","Poulpe sentinelle — Faune marine Calanques","Mission Projet Sentinelle Marseille — Poulpe — © Karim Saari","Calanques de Marseille","43.289676","5.353154","biodiversite","true"
"sentinelle-38","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-shooting-cave.webp","Shooting en grotte — Apnée Calanques","Mission Projet Sentinelle Marseille — Shooting cave — © Karim Saari","Calanques de Marseille","","","depollution","true"
"sentinelle-39","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-shooting.webp","Shooting sous-marin — Dark Massilia Marseille","Mission Projet Sentinelle Marseille — Shooting — © Karim Saari","Marseille, Embouchure de l'huveaune","","","depollution","true"
"sentinelle-4","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-archipel-frioul-barquette-4.webp","Camouflage rocheux — Archipel du Frioul","Photographie sous-marine en macro révélant un bernard-l'ermite logé dans sa coquille tachetée et encastré entre des blocs rocheux massifs recouverts d'algues et de concrétions dans les fonds marins de l'archipel du Frioul, illustrant l'incroyable adaptation et la discrétion de la faune en Méditerranée. — Archipel du Frioul — © Karim Saari","Marseille, Archipel du frioul","43.281384","5.30293","biodiversite","true"
"sentinelle-40","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-soupe-plastique.webp","Soupe de plastique — Pollution Méditerranée","Mission Projet Sentinelle Marseille — Soupe plastique — © Karim Saari","Marseille, les Goudes","43.216442","5.344289","depollution","true"
"sentinelle-41","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-spirographe.webp","Étoile sous-marine solitaire — Port des Goudes","Un ver spirographe déploie son panache de tentacules jaunes et striés, comme une fleur sous-marine solitaire émergeant d'un bloc rocheux couvert d'algues, au milieu des fonds sablonneux et des eaux calmes du Port des Goudes, témoignant de la vie insoupçonnée dans le Parc National des Calanques près de Marseille. — Port des Goudes — © Karim Saari","Marseille, Port des Goudes","43.216636","5.344242","biodiversite","true"
"sentinelle-42","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-teamoxygen-freediving.webp","Team Oxygen en freediving — Marseille","Mission Projet Sentinelle Marseille — Teamoxygen freediving — © Karim Saari","Calanques de Marseille","","","depollution","true"
"sentinelle-43","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-teamoxygen.webp","Team Oxygen réunie — Projet Sentinelle","Mission Projet Sentinelle Marseille — Teamoxygen — © Karim Saari","Calanques de Marseille","43.216304","5.34493","depollution","true"
"sentinelle-44","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-vélo-métropole.webp","Vélo-Métropole immergé — Pollution marine","Mission Projet Sentinelle Marseille — Vélo métropole — © Karim Saari","Marseille, embouchure de l'huveaune","43.258948","5.372802","depollution","true"
"sentinelle-45","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-vélo.webp","Vélo au fond de la mer — Calanques","Mission Projet Sentinelle Marseille — Vélo — © Karim Saari","Marseille, embouchure de l'huveaune","43.258607","5.373341","depollution","true"
"sentinelle-46","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-angel.webp","L'ange de plastique — Faille du soldat, Archipel du Frioul","Macrophotographie d'un déchet plastique blanc déchiqueté flottant dans l'obscurité des fonds marins, évoquant une silhouette d'ange, sensibilisation à la pollution et protection de la Méditerranée — Marseille — © Karim Saari","Archipel du Frioul, Faille du soldat, Marseille","43.284985","5.302938","depollution","true"
"sentinelle-47","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-archipel-frioul-barquette-7.webp","Barquette du Frioul 7 — Dépollution Marseille","Mission Projet Sentinelle Marseille — Archipel frioul barquette 7 — © Karim Saari","Marseille","43.277609","5.335256","depollution","true"
"sentinelle-48","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-diving.webp","Plongée en diving — Calanques de Marseille","Mission Projet Sentinelle Marseille — Diving — © Karim Saari","Calanques de Marseille","","","depollution","true"
"sentinelle-49","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-frioul-7.webp","Frioul nettoyé 7 — Mission Sentinelle","Mission Projet Sentinelle Marseille — Frioul 7 — © Karim Saari","Calanques de Marseille","","","depollution","true"
"sentinelle-52","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-musée-subaquatique.webp","Musée subaquatique — Sculptures marines","photographie sous marine, Mission Projet Sentinelle Marseille — Musée subaquatique — © Karim Saari","Marseille, Musée Subaquatique","43.290292","5.353635","depollution","true"
"sentinelle-53","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-musée_subaquatique-3.webp","Musée subaquatique 3 — Vie sous-marine","photographie sous marine, Mission Projet Sentinelle Marseille — Musée subaquatique 3 — © Karim Saari","Marseille, Musée Subaquatique","43.290292","5.353635","depollution","true"
"sentinelle-55","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-paysage-sous-marin.webp","Paysage sous-marin — Calanques de Marseille","Mission Projet Sentinelle Marseille — Paysage sous marin — © Karim Saari","Calanques de Marseille","","","depollution","true"
"sentinelle-56","/images/photographe-sous-marin-marseille-depollution-posidonie-apnee-projet-sentinelle.webp","Extraction de pneus immergés — Parc national des calanques","Pneus de voiture remontés à la surface par des plongeurs lors d'une opération de dépollution marine. Caractérisation de déchets — © Karim Saari","Marseille, calanque de Sormiou","43.209655","5.420914","depollution","true"
"sentinelle-57","/images/photographe-sous-marin-marseille-mission-depollution-projet-sentinelle.webp","L'habitat du déchet : un poulpe coincé — Calanque de Morgiou","Photographie sous-marine d'un poulpe (Octopus vulgaris) ayant élu domicile à l'intérieur d'un déchet anthropique, un tube en PVC ou en métal gisant sur le fond marin sablonneux et vaseux de la calanque de Morgiou. On ne distingue que l'œil vif et une partie de la peau texturée du céphalopode, qui se cache entre deux détritus recouverts de sédiments et de concrétions. Cette image illustre de manière poignante comment la faune marine s'adapte malgré elle à la pollution plastique et aux déchets métalliques dans le Parc National des Calanques. Un témoignage visuel de la nécessité de dépollution pour restaurer l'habitat naturel de la biodiversité en Méditerranée — Calanque de Morgiou, Marseille. — © Karim Saari","Marseille, calanque de Morgiou","43.212481","5.444081","biodiversite","true"
"sentinelle-58","/images/photographe-sous-marin-marseille-fonds-marins-calanques-apnee.webp","Délivrance d'un poisson de roche — Calanques de Marseille","Une apnéiste de la TEAM OXYGEN libère un petit poisson de roche, une girelle, emmêlé dans les mailles d'un filet de pêche fantôme, au cours d'une opération sentinelle de dépollution sous-marine dans les eaux turquoise du Parc National des Calanques, œuvrant ainsi pour la préservation de la biodiversité marine en Méditerranée. — Calanques de Marseille — © Karim Saari","Marseille, Calanques de Marseilleveyre","43.208236","5.371303","biodiversite","true"
"sentinelle-59","/images/photographe-sous-marin-marseille-apneiste-competition-certification.webp","Extraction insolite d'un déchet immergé — Callelongue","Groupe d'apnéistes solidaires remontant une signalétique routière ""A"" trouvée en mer. Dépollution de la Méditerranée — © Karim Saari","Marseille, Callelongue","43.211071","5.351816","depollution","true"
"sentinelle-6","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-archipel-frioul-barquette-6.webp","Barquette du Frioul 6 — Team Oxygen","Mission Projet Sentinelle Marseille — Archipel frioul barquette 6 — © Karim Saari","Calanques de Marseille","","","depollution","true"
"sentinelle-60","/images/photographe-sous-marin-marseille-morgan-bourchis-triple-champion-monde-apnee-depollution-sentinelle.webp","Morgan Bourchis triple champion — Apnée","Mission Projet Sentinelle Marseille — Photographe sous marin marseille morgan bourchis triple champion monde apnee depollution sentinelle — © Karim Saari","Marseille, Pointe rouge","43.245659","5.367836","depollution","true"
"sentinelle-61","/images/photographe-sous-marin-marseille-plongeurs-fonds-marins-mediterranee.webp","Plongeurs méditerranéens — Dark Massilia","Mission Projet Sentinelle Marseille — Photographe sous marin marseille plongeurs fonds marins mediterranee — © Karim Saari","Calanques de Marseille","","","depollution","true"
"sentinelle-62","/images/photographe-sous-marin-marseille-apneiste-exploration-fonds-marins.webp","Apnéiste explorateur — Fonds marins Marseille","Mission Projet Sentinelle Marseille — Photographe sous marin marseille apneiste exploration fonds marins — © Karim Saari","Marseille, Calanque de Sormiou","43.211066","5.423163","depollution","true"
"sentinelle-63","/images/marseille-dark-massilia-depollution-maritime-calanques-projet-sentinelle.webp","Dépollution maritime — Calanques Marseille","Mission Projet Sentinelle Marseille — Marseille dark massilia depollution maritime calanques projet sentinelle — © Karim Saari","Calanques de Marseille","","","depollution","true"
"sentinelle-64","/images/marseille-dark-massilia-depollution-pneu-port-goudes-projet-sentinelle.webp","Victoire sur le déchet : l'extraction d'un pneu — Port des Goudes","Deux membres de la Team Oxygen dépollution marine, l'une à bord d'un kayak orange et l'autre en apnée dans l'eau claire du port des Goudes à Marseille, extrayent conjointement un gros pneu usagé et couvert de dépôts marins. La volontaire porte une combinaison turquoise et des gants de protection rouges pour saisir le pneu, tandis que l'apnéiste en combinaison camouflage l'aide par-dessous. Le pneu est hissé sur l'avant d'un kayak à côté d'une pagaie à pales orange. En arrière-plan, sous un ciel bleu pur, on aperçoit des bateaux de plaisance amarrés, des bâtiments du port et un pylône de phare, illustrant la proximité entre l'activité humaine et les efforts de préservation. L'image capture un moment crucial de nettoyage des fonds marins de la Méditerranée, mettant en lumière l'action concrète d'écologie littorale pour lutter contre la pollution — Port des Goudes à Marseille. — © Karim Saari","Marseille, port des Goudes","43.215841","5.345302","caracterisation","true"
"sentinelle-65","/images/marseille-dark-massilia-operation-sentinelle-kayak-dechets-calanques.webp","Victoire de la Team Oxygen sur le plastique — Port des Goudes","Deux femmes de la Team Oxygen, engagées dans une opération de dépollution marine, s'activent à bord d'un kayak orange dans les eaux du Port des Goudes. L'une, de dos en tee-shirt turquoise marqué ""TEAM OXYGEN"", stabilise l'embarcation tandis que la seconde, en combinaison de plongée intégrale, récupère des déchets plastiques et des résidus flottants parmi un amas de posidonies mortes et de débris. Une caisse grise installée sur le kayak déborde de bouteilles et de polystyrène collectés. La scène, capturée au ras de l'eau, montre en arrière-plan les structures du port sous un soleil radieux, soulignant l'urgence de protéger le littoral marseillais de la pollution anthropique — Port des Goudes à Marseille. — © Karim Saari","Marseille, Port des Goudes","43.215388","5.345985","caracterisation","true"
"sentinelle-66","/images/marseille-dark-massilia-photo-sous-marine-depollution-team-oxygen.webp","Photo sous-marine — Team Oxygen Dark Massilia","Mission Projet Sentinelle Marseille — Marseille dark massilia photo sous marine depollution team oxygen — © Karim Saari","Calanques de Marseille","","","depollution","true"
"sentinelle-67","/images/marseille-dark-massilia-port-goudes-depollution-apnee-projet-sentinelle.webp","Port des Goudes nettoyé — Projet Sentinelle","Mission Projet Sentinelle Marseille — Marseille dark massilia port goudes depollution apnee projet sentinelle — © Karim Saari","Marseille, les Goudes","43.216306","5.344622","depollution","true"
"sentinelle-68","/images/marseille-dark-massilia-projet-sentinelle-caracterisation-dechets.webp","Front commun pour le littoral — Port de Montredon","Mobilisation citoyenne et institutionnelle lors de l'opération Sentinelle 3 au port de Montredon à Marseille. Des bénévoles des associations Team Oxygen et 1 Déchet Par Jour (1DPJ), reconnaissables à leurs t-shirts techniques, collaborent avec des agents du Parc National des Calanques pour trier les déchets remontés des fonds marins. Sur le quai, un inventaire de la pollution est exposé : pneus usagés, bouteilles en verre et sacs de macro-déchets plastiques. En arrière-plan, l'eau bleue de la Méditerranée et l'horizon dégagé soulignent la beauté fragile de ce site protégé qu'il est urgent de préserver des rejets urbains — Port de Montredon, Marseille. — © Karim Saari","Marseille, Montredon","43.233007","5.353517","caracterisation","true"
"sentinelle-69","/images/marseille-dark-massilia-tf1-reportage-projet-sentinelle-depollution.webp","TF1 Projet Sentinelle — Marseille reportage","Mission Projet Sentinelle Marseille — Marseille dark massilia tf1 reportage projet sentinelle depollution — © Karim Saari","Marseille, Callelongue","43.212267","5.352725","depollution","true"
"sentinelle-7","/images/Marseille-dark-massilia-plastique-pollution-projet-sentinelle-archipel-frioul-barquette-8.webp","Barquette du Frioul 8 — Calanques de Marseille","Mission Projet Sentinelle Marseille — Archipel frioul barquette 8 — © Karim Saari","Calanques de Marseille","","","depollution","true"
"sentinelle-70","/images/marseille-dark-massilia-caracterisation-dechets-sentinelle-70.webp","Triste inventaire à l'embouchure — L'Huveaune, Marseille","Amoncellement de déchets métalliques et pneumatiques extraits des eaux à l'embouchure de l'Huveaune, sur une dalle en béton face à la mer Méditerranée. Au premier plan, une dizaine de pneus usagés et un sommier de lit en métal rouillé témoignent de la pollution sous-marine. En arrière-plan, un vélo en libre-service marseillais stationné surplombe ce butin de dépollution. Le panorama s'ouvre sur la baie de Marseille avec la Grande Roue de l'Escale Borély et les massifs montagneux des Calanques sous un ciel voilé. Une image forte illustrant l'impact des déchets anthropiques sur le littoral marseillais et l'urgence de protéger les écosystèmes marins — Embouchure de l'Huveaune, Marseille. — © Karim Saari","Marseille, embouchue de l'huveaune","43.259251","5.372909","caracterisation","true"
"sentinelle-72","/images/marseille-dark-massilia-depollution-sous-marine-sentinelle-72.webp","Apnéiste extrayant un déchet marin — Les Goudes","Plongeur en apnée en combinaison remontant un macro déchet plastique de l'herbier de posidonie. Action de dépollution — © Karim Saari","Marseille, les Goudes","43.216246","5.344976","depollution","true"
